,PCF,VCF,PVCF,ACF,TRCF
2022-10-10,0.21488595438175268,0.18684273709483792,0.28825930372148856,0.05248499399759904,-0.21421368547418965
2022-10-11,0.2604081632653061,0.11356542617046818,0.25243697478991595,-0.0030252100840336134,-0.3120768307322929
2022-10-12,0.25205282112845134,0.0902280912364946,0.21584633853541413,-0.011668667466986795,-0.3097719087635054
2022-10-13,0.2939255702280912,0.06496998799519808,0.2614645858343337,-0.012340936374549819,-0.3049699879951981
2022-10-14,0.312172869147659,0.20316926770708282,0.33378151260504196,0.07553421368547418,-0.25618247298919566
2022-10-17,0.21488595438175268,0.19529411764705884,0.2849939975990396,0.066890756302521,-0.15774309723889554
2022-10-18,0.3247539015606243,0.13584633853541417,0.2910444177671068,0.0014885954381752698,-0.28345738295318124
2022-10-19,0.3335894357743097,0.12115246098439375,0.3241776710684274,0.030204081632653063,-0.21162064825930374
2022-10-20,0.3406002400960384,0.1624489795918367,0.3424249699879952,-0.0041776710684273705,-0.24878751500600238
2022-10-21,0.2896038415366146,0.08331332533013207,0.2772148859543817,-0.0670828331332533,-0.1996158463385354
2022-10-24,0.22372148859543817,0.05642256902761104,0.24533013205282111,-0.020888355342136854,-0.15572629051620648
2022-10-25,0.22593037214885953,0.10885954381752701,0.2759663865546218,-0.04701080432172868,-0.1797358943577431
2022-10-26,0.17464585834333732,0.011860744297719087,0.17503001200480192,-0.07687875150060022,-0.154765906362545
2022-10-27,0.04605042016806723,-0.04739495798319327,0.057094837935174066,-0.26521008403361346,-0.28710684273709486
2022-10-28,0.012917166866746698,-0.21843937575030012,-0.09166866746698678,-0.2586794717887155,-0.2611764705882353
2022-10-31,-0.08523409363745497,-0.09339735894357742,-0.09310924369747899,-0.11337334933973588,-0.10732292917166866
2022-11-01,0.007635054021608643,-0.14698679471788717,-0.05997599039615846,-0.1251860744297719,-0.13478991596638654
2022-11-02,-0.05248499399759904,-0.1022328931572629,-0.09829531812725088,-0.13085234093637454,-0.11001200480192078
2022-11-03,-0.03827130852340937,-0.08072028811524609,-0.06573829531812725,-0.08965186074429772,-0.09070828331332531
2022-11-04,0.0385594237695078,-0.09579831932773109,0.023865546218487393,-0.04576230492196878,-0.08014405762304923
2022-11-07,-0.015414165666266506,-0.1365186074429772,-0.06650660264105641,-0.10482593037214885,-0.07486194477791117
2022-11-08,0.04240096038415366,-0.11519807923169266,0.047587034813925566,-0.06631452581032413,-0.022424969987995196
2022-11-09,0.09983193277310923,-0.08292917166866745,0.0848499399759904,0.007154861944777911,-0.02645858343337335
2022-11-10,0.038367346938775505,-0.05901560624249699,0.030396158463385354,-0.0041776710684273705,-0.01983193277310924
2022-11-11,-0.00043217286914765904,-0.3114045618247298,-0.12096038415366145,-0.24408163265306118,-0.29834333733493396
2022-11-14,0.13747899159663865,-0.2989195678271308,-0.049315726290516206,-0.19663865546218487,-0.34424969987995196
2022-11-15,0.1007923169267707,-0.05238895558223289,0.06717887154861946,0.0036974789915966387,-0.1253781512605042
2022-11-16,0.1253781512605042,-0.01262905162064826,0.1291236494597839,0.09416566626650659,0.015510204081632653
2022-11-17,0.2270828331332533,-0.09138055222088834,0.09608643457382952,0.03577430972388955,-0.0670828331332533
2022-11-18,0.19990396158463383,-0.03558223289315726,0.12182472989195677,0.11510204081632652,0.11106842737094838
2022-11-21,0.19241296518607443,-0.14304921968787515,0.04163265306122449,0.03375750300120048,0.027226890756302524
2022-11-22,0.2777911164465786,-0.013781512605042016,0.15495798319327728,0.16177671068427368,0.2053781512605042
2022-11-23,0.1859783913565426,0.13190876350540215,0.2523409363745498,0.312172869147659,0.2668427370948379
2022-11-24,0.15150060024009604,-0.037791116446578635,0.07130852340936374,0.16581032412965185,0.21911164465786312
2022-11-25,0.13767106842737095,-0.02588235294117647,0.10472989195678271,0.12144057623049219,0.17483793517406962
2022-11-28,0.1569747899159664,-0.023193277310924368,0.10905162064825931,0.07207683073229292,0.11865546218487394
2022-11-29,0.10684273709483794,0.07217286914765905,0.12297719087635053,0.1406482593037215,0.18386554621848739
2022-11-30,0.04528211284513805,0.062088835534213675,0.1296998799519808,0.13248499399759903,0.21709483793517406
2022-12-01,0.11106842737094838,0.10338535414165667,0.13767106842737095,0.19078031212484994,0.302280912364946
2022-12-02,0.04605042016806723,0.14477791116446578,0.15937575030012002,0.20441776710684276,0.20921968787515002
2022-12-05,0.09214885954381752,0.07380552220888356,0.15649459783913564,0.17829531812725088,0.22208883553421366
2022-12-06,-0.20835534213685472,-0.031164465786314523,-0.05267707082833133,0.005138055222088836,0.09579831932773109
2022-12-07,-0.25541416566626646,0.06909963985594238,-0.03759903961584634,0.013877551020408161,0.18761104441776708
2022-12-08,-0.2167106842737095,0.030492196878751498,-0.10127250900360144,-0.09503001200480192,0.032989195678271306
2022-12-09,-0.123937575030012,0.03490996398559423,-0.054405762304921966,-0.0757262905162065,0.04067226890756302
2022-12-12,-0.0993517406962785,0.17819927971188473,0.09282112845138055,0.01531812725090036,0.14660264105642254
2022-12-13,-0.1359423769507803,0.04998799519807923,-0.01157262905162065,-0.11615846338535413,0.17839135654261706
2022-12-14,-0.17349339735894356,0.07322929171668667,-0.027034813925570226,-0.14352941176470588,0.038367346938775505
